,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
0,0.0,7.37,3.44,1021,32.38,0.09,0,0
1,9.5,5.53,4.29,1020,35.49,0.1,0,0
2,4.31,2.48,2.13,1019,18.19,0.06,0,0
3,5.59,3.62,2.54,1019,20.45,0.07,0,0
4,14.91,0.0,5.01,1018,2.08,0.0,0,0
5,3.98,0.0,1.57,1017,0,0.0,0,0
6,18.49,0.0,8.64,1017,0,0.0,0,0
7,5.7,0.0,2.19,1017,0,0.0,0,0
8,10.32,0.0,4.5,1017,0,0.0,0,0
9,0.0,0.0,0.0,1017,0,0.0,0,0
10,0.0,0.0,0.0,1017,0,0.0,0,0
11,0.0,0.0,0.0,1017,0,0.0,0,0
12,0.0,0.0,0.0,1015,0,0.0,0,0
13,0.0,0.0,0.0,1015,0,0.0,0,0
14,0.0,0.0,0.0,1014,0,0.0,0,0
15,0.0,0.0,0.0,1014,0,0.0,0,0
16,0.0,0.0,0.0,1015,0,0.0,0,0
17,0.0,0.0,0.0,1015,0,0.0,0,0
18,0.0,20.32,12.76,1016,40.45,0.29,0,0
19,0.0,0.0,0.0,1017,0,0.0,0,0
20,16.24,1.79,3.71,1017,26.19,0.06,0,0
21,0.0,0.0,0.0,1018,0,0.0,0,0
22,15.34,7.2,4.43,1018,18.2,0.11,0,0
23,0.0,0.0,0.0,1020,0,0.0,0,0
24,0.0,0.0,0.0,1020,0,0.0,0,0
25,3.27,1.68,0.54,1020,3.26,0.02,0,0
26,1.83,0.63,0.8,1021,3.55,0.02,0,0
27,0.0,0.0,0.0,1022,0,0.0,1,0
28,0.0,0.0,0.0,1022,0,0.0,2,0
29,0.0,0.0,0.0,1022,0,0.0,3,0
30,76.72,82.32,21.47,1023,164.66,0.7,4,0
31,70.92,65.74,26.97,1024,92.03,0.71,0,0
32,60.56,77.06,25.43,1024,53.31,0.69,0,0
33,96.52,72.72,24.98,1025,39.36,0.68,0,0
34,127.2,57.81,21.65,1026,127.53,0.59,1,0
35,116.6,60.09,23.49,1026,201.42,0.63,0,0
36,173.11,61.08,25.03,1026,212.69,0.68,0,0
37,390.59,71.36,25.03,1025,149.78,0.72,0,0
38,418.77,84.12,22.14,1025,143.59,0.7,0,0
39,323.48,71.74,23.22,1025,146.68,0.7,0,0
40,320.08,69.92,22.87,1026,135.09,0.68,0,0
41,333.29,70.56,22.6,1027,176.52,0.67,0,0
42,303.96,69.24,22.83,1027,224.14,0.69,0,0
43,157.51,70.46,22.55,1028,97.2,0.69,0,0
44,122.68,58.3,23.68,1028,101.04,0.72,0,0
45,116.76,52.6,23.3,1027,59.82,0.71,1,0
46,178.26,58.73,22.53,1028,191.79,0.74,2,0
47,146.62,58.24,22.33,1027,283.01,0.76,3,0
48,125.4,57.34,23.32,1027,286.78,0.76,4,0
49,121.36,39.27,22.38,1026,285.92,0.8,5,0
50,148.98,35.37,21.04,1026,290.09,0.78,6,0
51,132.35,33.55,21.28,1025,253.41,0.77,7,0
52,112.34,28.74,21.3,1024,249.23,0.76,8,0
53,148.69,26.71,21.17,1024,253.48,0.75,9,0
54,160.74,31.25,21.14,1024,243.24,0.74,10,0
